year,month,day,statefips,emp_combined,emp_combined_inclow,emp_combined_incmiddle,emp_combined_inchigh,emp_combined_ss40,emp_combined_ss60,emp_combined_ss65,emp_combined_ss70
2020,1,14,1,-0.00357,-7.88E-04,-0.00876,0.00342,0.00226,0.00249,-0.00544,-0.00552
2020,1,14,2,-0.00187,0.0155,-0.00479,-0.00196,0.00943,0.00316,-0.0161,0.00641
2020,1,14,4,-0.00412,-1.66E-05,-0.00677,-0.00234,-0.000574,0.00176,-0.00466,-0.00679
2020,1,14,5,-0.00476,-0.0075,-0.00673,.,0.00611,-0.00926,.,-0.0238
2020,1,14,6,-0.00598,0.0058,-0.00861,-0.00552,-0.00196,-0.00497,-0.00796,-0.0073
2020,1,14,8,-0.00433,-0.00551,-0.00604,-0.00106,-0.00352,-0.00528,-0.00795,-0.00529
2020,1,14,9,-0.00222,-0.00417,-9.62E-04,-0.0031,-0.00189,-0.00163,0.00178,-0.00139
2020,1,14,10,-0.00392,-0.00728,-7.60E-04,-0.00632,-0.00379,-0.00759,0.00529,-0.00842
2020,1,14,11,-0.00513,7.96E-04,-0.0079,-0.00332,0.00873,-0.00397,-0.0113,-0.00731
2020,1,14,12,-0.00581,-0.00582,-0.00839,0.0000833,-0.00641,-0.00365,-0.00604,-0.00602
2020,1,14,13,-0.00395,-0.00518,-0.00468,-0.00121,-0.00255,-0.00192,-0.00601,-0.00406
2020,1,14,15,-0.00314,-0.00893,-6.39E-04,.,0.0107,-0.00413,-0.0174,-0.000266
2020,1,14,16,-0.0121,-0.0086,-0.0126,-0.0167,-0.00468,-0.0151,-0.0268,-0.0199
2020,1,14,17,-0.00413,-0.00451,-0.00527,-0.00208,-0.00281,-0.00763,-0.00457,-0.0108
2020,1,14,18,-0.00397,-0.00121,-0.00858,0.00366,-0.00461,3.35E-04,-0.00832,-0.00272
2020,1,14,19,-0.00511,-0.00733,-0.0048,-0.00271,-0.00656,-0.00755,0.00404,-0.00623
2020,1,14,20,0.00266,0.0047,0.00316,-0.000741,0.0144,-0.00474,-0.00604,0.000332
2020,1,14,21,-0.00581,-0.0084,-0.00553,-0.00162,-0.000391,-0.00215,-0.00891,-0.0037
2020,1,14,22,-0.00659,-0.00899,-0.00865,0.00286,-0.00213,-3.43E-04,-0.00714,-0.00344
2020,1,14,23,-0.00219,-0.0127,6.97E-04,0.00186,-0.00167,-0.0024,-0.0036,0.00644
2020,1,14,24,-0.00309,-0.00836,-0.00251,-0.00034,0.0000139,-0.00438,-0.00454,-0.00252
2020,1,14,25,-0.00187,0.00186,-0.00281,-0.00193,0.00062,-0.00299,-0.00244,-0.00282
2020,1,14,26,-0.00474,-0.00794,-0.00431,-0.00173,-0.00118,-0.00731,-0.00638,-0.00524
2020,1,14,27,-0.00192,-0.00547,-0.00325,0.00285,0.000627,-0.00385,-0.0065,-0.000427
2020,1,14,28,-8.12E-04,0.00471,-0.00837,-0.00237,0.0113,-0.00244,-0.0104,0.0133
2020,1,14,29,-6.55E-04,-0.00428,-3.96E-04,0.00458,0.00371,-7.45E-04,-0.000225,-0.00733
2020,1,14,30,-0.00334,-0.011,-8.38E-04,0.000282,0.00171,-0.00664,-0.00638,-0.00844
2020,1,14,31,0.00736,-3.76E-04,0.00898,0.0116,0.000866,0.00432,0.0441,-0.00932
2020,1,14,32,-0.00436,-0.00342,-0.00609,-0.00172,-0.00192,-0.00586,-0.00891,-0.0000935
2020,1,14,33,-0.00202,-0.00346,-0.00239,0.000239,0.00266,-0.00704,-0.00556,0.00219
2020,1,14,34,-0.00306,-0.00416,-0.00331,-0.00179,-0.00451,-0.00215,-0.00534,-0.0022
2020,1,14,35,-0.0117,-0.0127,-0.0122,-0.00815,-0.00417,-0.0128,-0.0145,-0.00221
2020,1,14,36,-0.00396,-0.007,-0.00409,-0.00208,-0.00541,-0.00205,-0.00755,0.0000415
2020,1,14,37,-0.00163,0.00192,-0.00497,0.000526,0.000391,0.0039,-0.00798,-0.00397
2020,1,14,38,-0.00961,-0.0231,-0.0041,-0.00273,0.00325,-0.00752,-0.0156,.
2020,1,14,39,-0.00159,6.67E-04,-0.00479,0.00236,-0.000127,0.00184,-0.00567,-0.00141
2020,1,14,40,-0.00319,-0.00728,-0.00145,-0.000932,0.000803,-0.0134,0.00312,-0.00625
2020,1,14,41,-0.00384,-0.00559,-0.00505,0.000936,-0.00241,9.96E-06,-0.00655,-0.00329
2020,1,14,42,-0.00192,-0.00587,-6.14E-04,0.0000502,-0.000933,-0.00247,-0.000705,-0.00119
2020,1,14,44,-0.00268,-0.00558,-9.97E-04,-0.0037,-0.0018,-0.00345,-0.00674,0.00106
2020,1,14,45,-0.00251,-0.00134,-0.00523,0.00274,-0.0058,-0.00174,-0.0116,-0.00314
2020,1,14,46,0.00366,-0.00801,-0.00119,.,.,0.0076,.,0.00928
2020,1,14,47,-0.00451,-0.00666,-0.00491,-0.000318,0.0000787,-0.00652,-0.0034,-0.0099
2020,1,14,48,-0.00725,-0.00496,-0.0114,-0.00225,-0.00822,-0.00432,-0.00921,-0.00715
2020,1,14,49,-0.00385,-0.00664,-0.00653,0.00617,-0.000632,0.00484,-0.0164,-0.000414
2020,1,14,50,-3.73E-04,-0.0215,0.00417,0.0037,0.00494,-0.0129,0.00335,-0.00395
2020,1,14,51,-2.76E-04,-2.69E-04,-0.00207,0.00211,-0.000296,0.00415,-0.00613,0.00453
2020,1,14,53,-0.00563,0.0179,-0.00906,-0.00139,0.000192,-0.00744,-0.0167,-0.0043
2020,1,14,54,-0.00291,-0.00786,-0.00184,0.00478,5.67E-06,0.00743,0.00223,-0.0318
2020,1,14,55,-0.00269,-0.00532,-0.00309,0.00202,-0.00148,-0.00425,0.00041,-0.00494
2020,1,14,56,-0.00409,-0.00271,2.21E-04,.,0.00834,-0.0266,0.0017,-0.0057
2020,1,15,1,-0.00301,-8.35E-04,-0.00624,0.000567,0.00197,0.00309,-0.00453,-0.00514
2020,1,15,2,-0.0011,0.0141,-0.00408,-0.00057,0.0121,0.00361,-0.0147,0.00564
2020,1,15,4,-0.00345,-8.48E-04,-0.0052,-0.00218,7.39E-07,-7.26E-04,-0.0035,-0.00485
2020,1,15,5,-0.00582,-0.00953,-0.00637,.,0.00593,-0.00899,.,-0.0295
2020,1,15,6,-0.0042,0.00249,-0.00571,-0.00388,-0.000966,-0.00326,-0.00523,-0.00602
2020,1,15,8,-0.00302,-0.00525,-0.00394,-0.000569,-0.00213,-0.00368,-0.00663,-0.00328
2020,1,15,9,-0.00149,-0.00251,-2.22E-04,-0.00302,-0.00151,-4.30E-04,0.00215,-0.000559
2020,1,15,10,-0.00347,-0.00623,-7.91E-04,-0.00557,-0.00416,-0.00741,0.00405,-0.00695
2020,1,15,11,-0.00377,0.00168,-0.0058,-0.0026,0.00818,-0.00324,-0.00796,-0.00624
2020,1,15,12,-0.0042,-0.00367,-0.00629,-0.000125,-0.00474,-0.00201,-0.00426,-0.00524
2020,1,15,13,-0.00314,-0.00365,-0.0038,-0.00134,-0.00201,-0.0015,-0.00472,-0.00316
2020,1,15,15,-8.96E-04,-0.00789,0.00122,.,0.0121,0.00324,-0.015,-0.000655
2020,1,15,16,-0.00975,-0.00617,-0.0101,-0.015,-0.00366,-0.0133,-0.021,-0.0149
2020,1,15,17,-0.00319,-0.00365,-0.00389,-0.00176,-0.00213,-0.0055,-0.00303,-0.0107
2020,1,15,18,-0.00237,-8.27E-05,-0.00595,0.00333,-0.00358,8.52E-04,-0.00514,-0.00102
2020,1,15,19,-0.00387,-0.00546,-0.00362,-0.00222,-0.00573,-0.00397,0.0032,-0.0049
2020,1,15,20,0.00319,0.00668,0.00288,0.0000463,0.0137,-0.00245,-0.00449,0.0011
2020,1,15,21,-0.00471,-0.00738,-0.00436,-0.000554,-0.000691,-0.00169,-0.00765,-0.000748
2020,1,15,22,-0.00529,-0.00741,-0.00679,0.00232,-0.00182,4.56E-06,-0.00558,-0.00146
2020,1,15,23,-0.00137,-0.00911,0.00125,-0.000131,-0.000843,-0.00183,-0.00244,0.00627
2020,1,15,24,-0.0025,-0.00623,-0.00216,-0.000428,-0.000556,-0.00317,-0.00359,-0.00268
2020,1,15,25,-0.00101,0.00142,-0.00135,-0.00146,0.0011,-0.00215,-0.00114,-0.00149
2020,1,15,26,-0.00322,-0.00471,-0.00317,-0.00153,-0.000593,-0.00561,-0.00424,-0.00404
2020,1,15,27,-8.89E-04,-0.00367,-0.00162,0.00227,0.00154,-0.00243,-0.00533,0.00223
2020,1,15,28,-3.60E-04,0.00483,-0.00702,-0.00288,0.0106,-3.72E-04,-0.00934,0.0107
2020,1,15,29,-2.52E-04,-0.00304,1.47E-04,0.00331,0.00316,-1.20E-04,-0.0000846,-0.00698
2020,1,15,30,-0.0016,-0.0101,0.00147,0.00163,0.00285,-0.00255,-0.00728,-0.0071
2020,1,15,31,0.00664,-3.57E-05,0.00765,0.0112,0.00033,0.00122,0.0427,-0.00964
2020,1,15,32,-0.00311,-0.00221,-0.0046,-0.000999,-0.00154,-0.00468,-0.00536,-0.00109
2020,1,15,33,-9.82E-04,-0.00114,-0.0018,0.00102,0.00244,-0.00508,-0.00354,0.00293
2020,1,15,34,-0.00214,-0.00293,-0.00258,-0.000846,-0.00379,-0.00134,-0.00353,-0.00174
2020,1,15,35,-0.00905,-0.00831,-0.00981,-0.00881,-0.00178,-0.0102,-0.011,-0.00134
2020,1,15,36,-0.00262,-0.00544,-0.00248,-0.00138,-0.00406,-9.66E-04,-0.00568,0.000759
2020,1,15,37,-0.00106,0.00259,-0.00377,-0.000476,-0.000128,0.00404,-0.00592,-0.00293
2020,1,15,38,-0.00718,-0.0166,-0.00327,-0.00254,0.00375,-0.00524,-0.01,.
2020,1,15,39,-0.00108,0.00121,-0.00386,0.00172,-0.0000232,0.00227,-0.00424,-0.00103
2020,1,15,40,-0.00186,-0.00329,-0.0011,-0.00139,0.00173,-0.00921,0.00338,-0.00443
2020,1,15,41,-0.00268,-0.00426,-0.00334,0.000409,-0.00132,7.27E-04,-0.00514,-0.00263
2020,1,15,42,-0.00134,-0.00418,-1.75E-04,-0.000378,-0.000751,-0.00146,-0.00043,-0.000909
2020,1,15,44,-0.00125,-7.61E-04,-2.14E-04,-0.00391,-0.00175,-0.00179,-0.00455,0.00395
2020,1,15,45,-0.00144,-1.50E-04,-0.0036,0.00214,-0.00519,-7.40E-04,-0.00862,-0.00226
2020,1,15,46,0.00624,-0.00151,0.00172,.,.,0.00689,.,0.00977
2020,1,15,47,-0.0035,-0.00521,-0.00351,-0.000877,0.000326,-0.0053,-0.00346,-0.00686
2020,1,15,48,-0.00588,-0.00366,-0.00929,-0.00213,-0.00717,-0.00277,-0.00778,-0.00619
2020,1,15,49,-0.00235,-0.00361,-0.00539,0.00643,0.0011,0.0045,-0.0133,-0.000441
2020,1,15,50,-5.68E-04,-0.0186,0.0041,0.000173,0.00335,-0.0117,0.00548,-0.00429
2020,1,15,51,-1.25E-04,2.50E-04,-0.00134,0.00124,-0.00101,0.00396,-0.00527,0.00522
2020,1,15,53,-0.00289,0.00376,-0.00494,0.000247,0.00202,-0.00541,-0.0118,0.00082
2020,1,15,54,-9.85E-04,-0.00363,-8.70E-04,0.00409,0.000159,0.00847,0.0021,-0.0254
2020,1,15,55,-0.00165,-0.00275,-0.00239,0.00175,-0.00084,-0.00305,0.000893,-0.0031
2020,1,15,56,-0.00225,1.92E-04,0.00249,.,0.0058,-0.026,0.00361,-0.00362
2020,1,16,1,-0.00245,-9.00E-04,-0.00381,-0.00204,0.00173,0.00344,-0.00357,-0.00464
2020,1,16,2,-4.23E-04,0.012,-0.0033,0.000636,0.0146,0.00374,-0.0132,0.00475
2020,1,16,4,-0.00287,-0.00161,-0.00376,-0.00213,0.000464,-0.00321,-0.00242,-0.00304
2020,1,16,5,-0.00661,-0.0111,-0.00587,.,0.00563,-0.00845,.,-0.0339
2020,1,16,6,-0.00259,-3.31E-04,-0.00314,-0.0024,-0.000157,-0.00173,-0.00285,-0.00481
2020,1,16,8,-0.00175,-0.00454,-0.00199,-0.000134,-0.000852,-0.00208,-0.00528,-0.00134
2020,1,16,9,-8.09E-04,-8.46E-04,3.91E-04,-0.00289,-0.00113,7.20E-04,0.00239,0.000189
2020,1,16,10,-0.00297,-0.00496,-8.70E-04,-0.00479,-0.00422,-0.00701,0.00256,-0.00525
2020,1,16,11,-0.00249,0.00218,-0.00377,-0.00194,0.00751,-0.0025,-0.00485,-0.00535
2020,1,16,12,-0.00268,-0.00165,-0.00429,-0.000363,-0.00305,-5.24E-04,-0.00259,-0.00442
2020,1,16,13,-0.00234,-0.0022,-0.00291,-0.00147,-0.00146,-0.00111,-0.00338,-0.00231
2020,1,16,15,0.00124,-0.00653,0.00302,.,0.013,0.00945,-0.0128,-0.0012
2020,1,16,16,-0.00734,-0.00367,-0.00761,-0.013,-0.00266,-0.0109,-0.0152,-0.00968
2020,1,16,17,-0.0023,-0.0028,-0.00261,-0.00148,-0.00142,-0.00349,-0.00162,-0.0104
2020,1,16,18,-8.74E-04,8.03E-04,-0.00337,0.00294,-0.0025,0.00142,-0.00221,0.000323
2020,1,16,19,-0.00258,-0.0035,-0.00241,-0.00168,-0.00446,-5.85E-04,0.00213,-0.00361
2020,1,16,20,0.0035,0.00835,0.00241,0.000713,0.0125,-2.60E-04,-0.00299,0.00174
2020,1,16,21,-0.00361,-0.0062,-0.00323,0.000355,-0.000909,-0.00118,-0.00632,0.00167
2020,1,16,22,-0.00403,-0.00582,-0.00503,0.00183,-0.00164,1.40E-04,-0.00395,0.0002
2020,1,16,23,-6.50E-04,-0.00534,0.00153,-0.00198,-0.000165,-0.00129,-0.00132,0.00571
2020,1,16,24,-0.0019,-0.00406,-0.00183,-0.000495,-0.00103,-0.00201,-0.00267,-0.00266
2020,1,16,25,-2.34E-04,0.00122,-8.73E-05,-0.00102,0.00149,-0.00139,-0.0000209,-0.000165
2020,1,16,26,-0.00175,-0.0016,-0.00204,-0.0013,0.0000112,-0.00385,-0.00223,-0.00284
2020,1,16,27,3.32E-05,-0.002,-8.43E-05,0.00158,0.00217,-0.00108,-0.00416,0.00459
2020,1,16,28,-4.42E-06,0.0046,-0.00554,-0.00313,0.00955,0.00128,-0.00807,0.00797
2020,1,16,29,1.10E-04,-0.00184,6.22E-04,0.00208,0.00266,4.24E-04,-0.0000197,-0.0065
2020,1,16,30,-1.10E-05,-0.00902,0.00344,0.00287,0.00367,0.00123,-0.00774,-0.00575
2020,1,16,31,0.00585,3.01E-04,0.00629,0.0104,-0.000142,-0.00152,0.0401,-0.00956
2020,1,16,32,-0.00203,-0.00124,-0.00322,-0.000434,-0.00125,-0.00365,-0.00226,-0.00205
2020,1,16,33,-9.22E-05,0.00113,-0.00142,0.00174,0.00221,-0.00316,-0.00174,0.00328
2020,1,16,34,-0.00129,-0.00163,-0.00194,-0.0000418,-0.00308,-6.22E-04,-0.00184,-0.00117
2020,1,16,35,-0.0065,-0.0041,-0.00756,-0.00926,0.000426,-0.00777,-0.00753,-0.000697
2020,1,16,36,-0.00138,-0.0036,-0.00111,-0.000708,-0.00273,2.25E-05,-0.00388,0.00117
2020,1,16,37,-5.30E-04,0.00312,-0.0026,-0.0014,-0.000557,0.00407,-0.00396,-0.00186
2020,1,16,38,-0.00458,-0.0102,-0.00223,-0.00184,0.00454,-0.00296,-0.00474,.
2020,1,16,39,-6.22E-04,0.00164,-0.00293,0.00107,0.0000265,0.00254,-0.00285,-0.000654
2020,1,16,40,-6.68E-04,3.47E-04,-8.16E-04,-0.00184,0.00239,-0.00513,0.00347,-0.00275
2020,1,16,41,-0.00171,-0.00311,-0.00188,-0.0000949,-0.000467,0.00127,-0.00392,-0.00194
2020,1,16,42,-8.02E-04,-0.0025,1.82E-04,-0.000788,-0.000543,-4.87E-04,-0.000269,-0.00064
2020,1,16,44,4.12E-05,0.00349,4.49E-04,-0.00395,-0.00168,-1.21E-04,-0.00258,0.00636
2020,1,16,45,-4.97E-04,8.16E-04,-0.00209,0.00152,-0.00451,9.75E-05,-0.00567,-0.00139
2020,1,16,46,0.00841,0.00452,0.00443,.,.,0.00587,.,0.00919
2020,1,16,47,-0.00248,-0.00379,-0.00214,-0.00132,0.00056,-0.00404,-0.00346,-0.00392
2020,1,16,48,-0.0045,-0.0024,-0.00716,-0.002,-0.00606,-0.00127,-0.00629,-0.00524
2020,1,16,49,-9.80E-04,-8.64E-04,-0.00428,0.00649,0.00252,0.00418,-0.0102,-0.000596
2020,1,16,50,-7.77E-04,-0.0155,0.0038,-0.00287,0.00176,-0.0103,0.00682,-0.00442
2020,1,16,51,7.26E-06,7.42E-04,-6.76E-04,0.000402,-0.00152,0.00363,-0.00434,0.00567
2020,1,16,53,-4.79E-04,-0.00792,-0.00132,0.00167,0.00343,-0.00351,-0.00715,0.00499
2020,1,16,54,6.74E-04,2.02E-04,1.67E-05,0.00301,0.000179,0.00914,0.00182,-0.0191
2020,1,16,55,-6.27E-04,-2.48E-04,-0.00169,0.00143,-0.000159,-0.00184,0.00122,-0.00128
2020,1,16,56,-5.75E-04,0.00263,0.00428,.,0.00335,-0.0245,0.00485,-0.00179
2020,1,17,1,-0.00186,-8.81E-04,-0.00155,-0.00426,0.00139,0.00353,-0.00246,-0.00414
2020,1,17,2,2.18E-04,0.00941,-0.00237,0.00167,0.0165,0.00358,-0.0114,0.00383
2020,1,17,4,-0.00235,-0.00227,-0.00246,-0.00219,0.000877,-0.00554,-0.00138,-0.00143
2020,1,17,5,-0.00704,-0.0121,-0.00516,.,0.00504,-0.00763,.,-0.0364
2020,1,17,6,-0.00112,-0.00251,-8.64E-04,-0.00105,0.000512,-3.80E-04,-0.000693,-0.00363
2020,1,17,8,-5.46E-04,-0.0034,-2.25E-04,0.000216,0.000312,-5.25E-04,-0.00386,0.000448
2020,1,17,9,-1.79E-04,7.64E-04,9.00E-04,-0.00272,-0.000738,0.00183,0.00247,0.00081
2020,1,17,10,-0.00236,-0.00344,-8.99E-04,-0.00393,-0.0038,-0.00633,0.00111,-0.0035
2020,1,17,11,-0.00129,0.00228,-0.00183,-0.0013,0.00669,-0.00171,-0.00197,-0.00457
2020,1,17,12,-0.00127,1.90E-04,-0.00239,-0.00058,-0.00137,7.92E-04,-0.00103,-0.00356
2020,1,17,13,-0.00155,-8.63E-04,-0.00199,-0.00157,-0.000947,-7.78E-04,-0.00198,-0.00155
2020,1,17,15,0.00335,-0.00456,0.00477,.,0.0132,0.0141,-0.0106,-0.00157
2020,1,17,16,-0.00492,-0.0014,-0.00511,-0.0106,-0.00145,-0.00829,-0.00977,-0.00456
2020,1,17,17,-0.00145,-0.00194,-0.00141,-0.00118,-0.000637,-0.00162,-0.000331,-0.01
2020,1,17,18,4.56E-04,0.00145,-9.35E-04,0.00248,-0.00133,0.00196,0.000356,0.00127
2020,1,17,19,-0.00133,-0.0016,-0.00125,-0.00113,-0.00306,0.00245,0.00105,-0.00245
2020,1,17,20,0.00359,0.00953,0.0018,0.00121,0.0109,0.00173,-0.00159,0.00218
2020,1,17,21,-0.00253,-0.00492,-0.00217,0.00108,-0.00105,-5.85E-04,-0.00495,0.00352
2020,1,17,22,-0.00277,-0.00416,-0.00339,0.00141,-0.0016,1.29E-04,-0.00225,0.00151
2020,1,17,23,-3.25E-05,-0.00174,0.00163,-0.00357,0.000362,-7.36E-04,-0.000382,0.00494
2020,1,17,24,-0.00127,-0.00185,-0.00147,-0.00052,-0.00132,-8.93E-04,-0.00177,-0.00245
2020,1,17,25,4.66E-04,0.00114,0.001,-0.000596,0.00175,-6.65E-04,0.000927,0.00105
2020,1,17,26,-3.51E-04,0.00125,-9.57E-04,-0.00102,0.000616,-0.00207,-0.000406,-0.00163
2020,1,17,27,8.37E-04,-3.93E-04,0.00128,0.000808,0.0026,1.28E-04,-0.00295,0.00652
2020,1,17,28,4.75E-04,0.00445,-0.00393,-0.00315,0.00817,0.003,-0.00641,0.00519
2020,1,17,29,4.03E-04,-8.33E-04,0.00104,0.000931,0.0022,0.00104,-0.000151,-0.0059
2020,1,17,30,0.0014,-0.00781,0.00506,0.00399,0.00423,0.00454,-0.00749,-0.00438
2020,1,17,31,0.00496,6.19E-04,0.00487,0.00943,-0.000496,-0.00378,0.036,-0.00918
2020,1,17,32,-0.00107,-4.36E-04,-0.00195,0.0000258,-0.000909,-0.00272,0.00049,-0.00291
2020,1,17,33,6.96E-04,0.00322,-0.00112,0.00235,0.00193,-0.00125,-0.0000864,0.0034
2020,1,17,34,-4.87E-04,-3.56E-04,-0.00134,0.000651,-0.00238,5.76E-06,-0.000256,-0.000569
2020,1,17,35,-0.0041,-2.74E-04,-0.00544,-0.00935,0.00216,-0.0055,-0.00408,-0.000263
2020,1,17,36,-2.39E-04,-0.00166,7.77E-05,-0.0000783,-0.00142,8.98E-04,-0.00219,0.00138
2020,1,17,37,-4.41E-05,0.00342,-0.00146,-0.00214,-0.000921,0.00396,-0.0021,-0.000834
2020,1,17,38,-0.00191,-0.00415,-0.00102,-0.000706,0.0055,-8.39E-04,4.20E-06,.
2020,1,17,39,-2.03E-04,0.00195,-0.00202,0.000479,0.000087,0.00263,-0.00151,-0.000327
2020,1,17,40,3.79E-04,0.00349,-5.60E-04,-0.00217,0.00268,-0.00134,0.00347,-0.00111
2020,1,17,41,-7.37E-04,-0.00189,-4.95E-04,-0.000475,0.000326,0.00172,-0.00259,-0.00121
2020,1,17,42,-2.96E-04,-8.84E-04,4.69E-04,-0.00113,-0.000325,4.06E-04,-0.000158,-0.000373
2020,1,17,44,0.00115,0.007,9.97E-04,-0.00379,-0.00156,0.00146,-0.000799,0.00809
2020,1,17,45,3.43E-04,0.00157,-6.51E-04,0.00093,-0.00376,9.14E-04,-0.00281,-0.000614
2020,1,17,46,0.0102,0.0104,0.00692,.,.,0.00487,.,0.0079
2020,1,17,47,-0.00149,-0.00242,-8.41E-04,-0.0016,0.000789,-0.00279,-0.0033,-0.00124
2020,1,17,48,-0.00314,-0.00128,-0.00502,-0.0018,-0.00488,1.34E-04,-0.00477,-0.00428
2020,1,17,49,2.77E-04,0.00167,-0.00317,0.00633,0.00358,0.00381,-0.00693,-0.0007
2020,1,17,50,-9.13E-04,-0.012,0.00336,-0.00536,0.000333,-0.00853,0.00744,-0.00419
2020,1,17,51,1.47E-04,0.00127,-6.93E-05,-0.000349,-0.00171,0.00318,-0.00334,0.00587
2020,1,17,53,0.00156,-0.0171,0.0017,0.00286,0.00441,-0.0018,-0.00286,0.00808
2020,1,17,54,0.00207,0.00354,8.43E-04,0.0017,0.000247,0.0094,0.00138,-0.0129
2020,1,17,55,3.43E-04,0.00211,-9.81E-04,0.00109,0.000527,-5.70E-04,0.00139,0.000453
2020,1,17,56,0.001,0.00462,0.00561,.,0.00105,-0.0221,0.00554,0.000114
2020,1,18,1,-0.0012,-6.51E-04,4.99E-04,-0.00601,0.00111,0.00345,-0.00136,-0.00283
2020,1,18,2,9.85E-04,0.008,-0.00129,0.00252,0.018,0.00367,-0.00908,0.00296
2020,1,18,4,-0.00183,-0.00265,-0.00124,-0.00232,0.0012,-0.00751,-0.000418,0.000123
2020,1,18,5,-0.00698,-0.0122,-0.0042,.,0.0042,-0.00647,.,-0.0363
2020,1,18,6,2.20E-04,-0.0042,0.00114,0.000165,0.00103,7.82E-04,0.00123,-0.00241
2020,1,18,8,5.81E-04,-0.00189,0.00134,0.000469,0.0014,9.06E-04,-0.00251,0.00215
2020,1,18,9,4.10E-04,0.00226,0.00134,-0.00248,-0.000317,0.00285,0.00243,0.00129
2020,1,18,10,-0.0017,-0.002,-7.93E-04,-0.00301,-0.00343,-0.00531,-0.000255,-0.00167
2020,1,18,11,-1.76E-04,0.00232,-3.63E-05,-0.000688,0.00566,-8.65E-04,0.000708,-0.00384
2020,1,18,12,5.33E-05,0.00186,-6.02E-04,-0.000761,0.000294,0.00189,0.000428,-0.00255
2020,1,18,13,-7.89E-04,3.40E-04,-0.00104,-0.00164,-0.000395,-5.07E-04,-0.00062,-0.000724
2020,1,18,15,0.00552,-0.00193,0.00654,.,0.0124,0.0171,-0.00847,-0.00126
2020,1,18,16,-0.0026,4.54E-04,-0.00264,-0.00785,-0.000392,-0.00563,-0.00446,0.000123
2020,1,18,17,-6.05E-04,-0.00103,-2.82E-04,-0.000841,0.000214,8.15E-05,0.000764,-0.00927
2020,1,18,18,0.00163,0.002,0.00127,0.00194,-0.000183,0.00244,0.00259,0.00208
2020,1,18,19,-1.02E-04,3.43E-04,-1.56E-04,-0.00061,-0.00181,0.00526,0.0000427,-0.00122
2020,1,18,20,0.00349,0.0102,0.00114,0.00152,0.00894,0.00348,-0.000316,0.00254
2020,1,18,21,-0.00149,-0.00358,-0.00116,0.00162,-0.00126,-6.93E-06,-0.00357,0.00516
2020,1,18,22,-0.00152,-0.00243,-0.00183,0.001,-0.00158,1.50E-05,-0.000502,0.00266
2020,1,18,23,5.05E-04,0.00141,0.00167,-0.00484,0.000728,-1.40E-04,0.000395,0.00404
2020,1,18,24,-6.14E-04,2.72E-04,-0.00107,-0.000475,-0.00143,1.87E-04,-0.000908,-0.00201
2020,1,18,25,0.00108,9.93E-04,0.00194,-0.000173,0.00189,6.63E-05,0.00164,0.00211
2020,1,18,26,9.34E-04,0.00377,5.90E-05,-0.000674,0.00115,-3.59E-04,0.00126,-0.00033
2020,1,18,27,0.00151,0.00115,0.00245,7.43E-06,0.00292,0.00113,-0.00178,0.00793
2020,1,18,28,8.62E-04,0.00401,-0.00221,-0.00301,0.00627,0.00454,-0.00447,0.00243
2020,1,18,29,7.14E-04,2.46E-04,0.00141,-0.000127,0.00192,0.00155,-0.000214,-0.00502
2020,1,18,30,0.00268,-0.00596,0.00622,0.00483,0.00466,0.00741,-0.00655,-0.00284
2020,1,18,31,0.00396,0.00101,0.00339,0.00807,-0.000738,-0.00542,0.0301,-0.00814
2020,1,18,32,-2.09E-04,2.47E-04,-7.63E-04,0.000418,-0.000647,-0.00181,0.00291,-0.00344
2020,1,18,33,0.00141,0.00499,-7.32E-04,0.00279,0.00168,6.12E-04,0.0014,0.00339
2020,1,18,34,2.67E-04,8.43E-04,-7.22E-04,0.00124,-0.00163,5.52E-04,0.0012,0.0000349
2020,1,18,35,-0.00176,0.00325,-0.0034,-0.00896,0.00372,-0.00332,-0.000729,-0.000124
2020,1,18,36,8.00E-04,2.24E-04,0.00113,0.00049,-0.000133,0.00165,-0.000635,0.00152
2020,1,18,37,4.53E-04,0.00369,-3.49E-04,-0.0027,-0.00107,0.00372,-0.000352,0.000362
2020,1,18,38,7.59E-04,0.00148,3.17E-04,0.000794,0.00653,9.18E-04,0.00439,.
2020,1,18,39,1.90E-04,0.00219,-0.00115,-0.0000554,0.000182,0.00254,-0.00021,0.000011
2020,1,18,40,0.00126,0.00603,-3.10E-04,-0.00239,0.0027,0.00201,0.00336,0.000544
2020,1,18,41,2.55E-04,-4.59E-04,8.18E-04,-0.000735,0.00119,0.00208,-0.00113,-0.000385
2020,1,18,42,1.79E-04,6.37E-04,7.04E-04,-0.00138,-0.000118,0.00122,-0.0000496,-0.000131
2020,1,18,44,0.0021,0.00973,0.00145,-0.00339,-0.00121,0.00292,0.000775,0.00903
2020,1,18,45,0.0011,0.00217,6.91E-04,0.000385,-0.00294,0.00171,-0.00015,0.000221
2020,1,18,46,0.0113,0.0148,0.00918,.,.,0.00391,.,0.00613
2020,1,18,47,-4.84E-04,-9.86E-04,3.60E-04,-0.00173,0.00102,-0.00153,-0.00291,0.00144
2020,1,18,48,-0.00173,-2.69E-05,-0.00289,-0.00154,-0.00356,0.00139,-0.00317,-0.0029
2020,1,18,49,0.00137,0.00384,-0.00205,0.00589,0.00418,0.00339,-0.00368,-0.000729
